"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"1","SID31009","SID530258","SID31328","SID31021","SID31160","SID530444","SID530055","SID31512","22.8204612635919","23.7167587848087","24.8259844194767","25.4990129538459","26.2861371885486","26.5103960262837","26.522703477191","SID530890","SID531155","SID31004","SID31685","SID531352","SID531416","20.452880386459","23.7221987246482","23.9475858048364","23.9986756137938","25.0839038653137","25.4356768508664"
"2","SID31021","SID530258","SID530055","SID31328","SID31452","SID530364","SID31512","SID530394","18.2316115925718","18.8940593148455","19.7457697314868","19.8149375236562","20.0601334907373","20.5065075686695","20.7241904562711","SID531416","SID530890","SID531155","SID31878","SID31884","SID531277","15.8813390141512","18.4807028682759","19.8390077194501","20.2569942568684","21.6190585757151","21.8937159830418"
"3","SID31071","SID31749","SID531414","SID31328","SID530055","SID31700","SID530444","SID31160","16.5013445684617","17.1808662466769","21.4314696578","21.8988967771347","23.4417013888967","25.5434332976207","25.5437620620417","SID31004","SID31875","SID530890","SID31878","SID531277","SID31549","19.5143029075753","22.7469548513312","23.0039275152744","24.2195704346733","24.6829000952562","26.0297866896773"
"4","SID31112","SID530119","SID530215","SID532749","SID530052","SID31714","SID530315","SID31557","26.8535059756468","28.2078616408653","33.2760365983195","33.694344668263","33.9925077474478","35.6659683662494","37.4227633036111","SID31870","SID31159","SID31879","SID31884","SID31871","SID531416","27.8164060016728","29.3713693591974","34.3391849573792","34.6771369942185","37.0651176604743","41.1273990386968"
"5","SID31129","SID530444","SID530163","SID530364","SID532749","SID530315","SID31009","SID31360","25.2396357628037","32.1441423938033","33.3108980993353","34.0228176580924","34.4650095964937","35.2988477411856","35.3625146950199","SID31237","SID31549","SID31004","SID31446","SID530890","SID531277","27.4122015557416","30.7149834756247","33.7990462221495","36.0654681483424","36.5576007554872","37.0965273897436"
"6","SID31160","SID31328","SID31749","SID31766","SID530258","SID530295","SID31512","SID531414","21.3828172336996","21.8721738089633","21.9123624393834","22.8535023463298","22.9454835283787","22.9481488388802","23.5163866554197","SID530890","SID31875","SID31276","SID31685","SID31285","SID531352","18.4632291910001","20.9905911178533","23.2088397238337","23.3373808809579","23.7193274046188","23.9547229287149"
"7","SID31219","SID532796","SID31360","SID31512","SID532802","SID532826","SID31328","SID530050","23.6812243439228","24.0912460420274","26.3627037325575","26.5211923923548","26.7921020049492","26.8196966815399","27.5548404151884","SID31880","SID531416","SID531155","SID531775","SID530890","SID531352","22.371684802806","23.4813271107682","25.0950867307627","26.6110810979167","26.9087652472387","27.4261617056653"
"8","SID31236","SID31267","SID530258","SID31766","SID31537","SID31333","SID31452","SID31512","17.3645091660951","23.8421000327215","25.9541901953557","27.1705404338559","28.6492945947383","29.6052208323583","30.1145408960754","SID31489","SID31276","SID31685","SID530890","SID31285","SID31871","17.9148996161352","18.5532691515054","21.4357683422475","28.8128053005326","29.2073062351922","29.6023113513878"
"9","SID31267","SID31236","SID530258","SID31766","SID31537","SID530331","SID31452","SID31333","17.3645091660951","19.7381971447014","20.7475265552764","22.7752056572712","23.3245061431941","23.6987403735874","24.8337662016195","SID31276","SID31489","SID31685","SID530890","SID31285","SID531352","14.3644952427017","14.4768576997289","19.989439822984","23.2069077581224","25.4686506739815","28.6951391148797"
"10","SID31300","SID532779","SID530295","SID532915","SID31700","SID31512","SID530167","SID532796","21.2337969722987","22.5238428697813","24.8333201232598","25.5611342312563","26.9804684574546","27.1323154119493","27.3185423142652","SID531128","SID531469","SID531352","SID530890","SID31685","SID31223","23.4927703369377","23.8344616661464","24.9790265390907","26.1660408236153","26.3438806657371","27.0489255434555"
"11","SID31328","SID530055","SID532802","SID530050","SID531414","SID31021","SID530258","SID31160","17.2856034138586","17.4969434366434","18.5381653474582","19.670755988482","19.7457697314868","21.1949450417664","21.3828172336996","SID530890","SID531277","SID31878","SID531155","SID31875","SID31004","14.6561743256554","15.4566441096507","17.7021304752309","19.0540908646647","19.6385342603999","19.8710987136444"
"12","SID31333","SID530055","SID530258","SID530331","SID532802","SID31021","SID31512","SID31452","15.8883329681531","17.279186346087","21.309130951402","21.4074938238365","21.5449966552469","22.3286414112883","22.61174703396","SID531416","SID31871","SID530890","SID31489","SID531281","SID531155","19.4511819281708","19.9451958000016","20.5053045920586","23.2849167958982","24.2268527346372","24.8626302759704"
"13","SID31360","SID530364","SID530050","SID31021","SID31328","SID31219","SID530394","SID530055","19.7709380664449","21.7987122218034","22.5932901713982","23.4506486820536","24.0912460420274","24.2320366702058","24.4857576434036","SID531416","SID531277","SID31549","SID31878","SID531155","SID31004","19.9291285136154","22.0062652703111","22.4882867184897","23.3406063850149","23.49780251255","23.7423350764431"
"14","SID31379","SID530331","SID532802","SID530394","SID530055","SID31333","SID530364","SID530050","18.8540524626511","22.1143643400528","22.1520163227955","24.2336960363767","25.6516180368919","25.8856901117625","26.1098516390883","SID531155","SID531416","SID531277","SID31549","SID530890","SID531281","20.0002543413078","21.0975813882729","23.6636770808575","26.0638135941731","26.5121449429559","29.9555609927205"
"15","SID31450","SID530444","SID530050","SID31009","SID530315","SID31328","SID31749","SID31360","32.9939383526217","35.398563919994","35.813449688839","35.9756723982082","35.9951523833196","36.413338099544","36.458012773854","SID31004","SID530890","SID531277","SID31874","SID31446","SID31877","34.7282908126962","35.7170444452589","36.5602375015453","36.7217881036545","36.9216251325521","37.0335355631892"
"16","SID31452","SID530258","SID31021","SID31537","SID31512","SID31333","SID530331","SID31750","19.5807879958239","19.8149375236562","21.4545680609305","22.6087055981562","22.61174703396","22.638138143244","23.4307384911978","SID31685","SID530890","SID531416","SID31489","SID31285","SID31276","19.118534057448","20.7441607764281","21.4770590479423","22.3278250487122","22.4732413723388","22.7358016567065"
"17","SID31512","SID530331","SID31766","SID530258","SID31021","SID530055","SID532802","SID31333","18.2554303135286","19.0426773581684","20.0332602752398","20.5065075686695","21.2776220327037","21.5863416102196","22.3286414112883","SID531416","SID530890","SID531155","SID531352","SID31685","SID31871","17.4405866910348","19.1891213811055","19.3935424680511","21.3602751311798","21.3669916640808","23.1043591467043"
"18","SID31519","SID31021","SID530167","SID530394","SID530364","SID530227","SID31328","SID31360","21.7875905499782","26.3652168385773","28.7767416383144","30.6500231481658","30.7186461951386","31.248210928858","32.9666744217414","SID31866","SID531333","SID31878","SID31873","SID530373","SID31884","19.5864745282376","20.8621905865947","22.3603213435205","26.1657536144347","28.4322950413487","31.3752200405208"
"19","SID31537","SID530258","SID31452","SID530177","SID31021","SID31267","SID31333","SID31236","16.6848629853859","21.4545680609305","22.1686826961437","22.2639379034954","22.7752056572712","25.2179339126602","27.1705404338559","SID31276","SID31489","SID31685","SID530890","SID31871","SID531416","19.6302443194373","19.8663452509061","23.2142451428277","24.5972147485279","24.6859690046168","24.9790135193226"
"20","SID31557","SID530052","SID31714","SID532749","SID530119","SID530364","SID530215","SID31071","23.3567688388784","25.7670655792467","25.9164466440483","26.9893810196863","31.5529931783611","31.904523422996","33.0626543724033","SID31870","SID31884","SID31871","SID31549","SID531416","SID531281","23.8555017454591","30.0406876977958","30.602961704621","32.7687803005589","33.1483600010182","33.2344368035221"
"21","SID31637","SID530315","SID530364","SID31379","SID530055","SID31219","SID530331","SID31333","28.1442281939139","28.7177178254088","29.3871141184227","30.6173835153479","30.6405884949082","31.0988028416401","31.1508066314181","SID531416","SID31876","SID31868","SID31549","SID31446","SID31493","26.4048705420345","27.0526843001744","29.3044259517824","30.4458074157149","30.5921005489947","30.9841255313766"
"22","SID31700","SID31749","SID532915","SID530295","SID532779","SID31750","SID532796","SID31328","14.2128101875773","21.4293443593499","21.5790986257837","22.1908327338588","22.3697771385591","23.2550146838096","23.3531590314287","SID531128","SID31875","SID31876","SID31223","SID530890","SID31004","15.3929726635046","21.8763756849232","21.8806724204719","22.3696612423769","22.6185513853783","23.0036587111225"
"23","SID31714","SID530052","SID530119","SID31557","SID530215","SID532749","SID530315","SID31112","17.9537632784272","20.2537285099954","25.7670655792467","25.9155298349291","28.8076370853147","30.6802468177197","33.9925077474478","SID31870","SID31879","SID31159","SID31884","SID31871","SID31549","21.1863186059495","24.7665926871744","24.9282972633411","29.6426563242821","30.9936246653001","36.5155882416305"
"24","SID31749","SID31700","SID31071","SID531414","SID530315","SID31160","SID31328","SID532779","14.2128101875773","16.5013445684617","20.0371673371787","21.732221362523","21.8721738089633","22.5858404469238","23.7963117036653","SID531128","SID31875","SID31004","SID530890","SID31878","SID531352","17.7858619457169","19.2199412894525","20.5671854094404","22.6544645102571","23.772767586661","25.4932253660615"
"25","SID31750","SID31700","SID31452","SID530295","SID31749","SID530167","SID532915","SID31360","22.3697771385591","23.4307384911978","24.5606594762742","24.6146309809207","25.4466299200542","25.7929915232724","25.982452798893","SID31875","SID531128","SID530890","SID31004","SID531352","SID31685","18.2281068823479","23.2543609536147","23.5409399181044","24.2407275364746","24.4447117879737","24.5167251483288"
"26","SID31766","SID31512","SID31267","SID31160","SID530258","SID530331","SID530177","SID31236","19.0426773581684","20.7475265552764","21.9123624393834","22.7586637474523","22.9227820844024","24.7958927321079","25.9541901953557","SID31276","SID31685","SID31489","SID530890","SID31865","SID531155","20.1859540170213","22.9644770337232","23.2728381415697","23.824962418751","24.629387109711","26.2899892479932"
"27","SID530050","SID31328","SID31360","SID31021","SID530364","SID530055","SID530394","SID31071","18.5381653474582","21.7987122218034","24.2800087588205","24.7371007089028","25.1649341843228","25.2362056259217","25.9450482473573","SID31004","SID531277","SID530890","SID31878","SID531281","SID531416","17.6542049308911","21.0105650673203","22.7494047088995","23.2108278734775","23.5679121144237","23.834598864919"
"28","SID530052","SID31714","SID31557","SID530119","SID532749","SID530215","SID31333","SID530258","17.9537632784272","23.3567688388784","24.572824154004","24.6075804591634","26.7819537424233","27.4205105326086","27.7287879444937","SID31870","SID31871","SID31884","SID531416","SID531281","SID31549","19.6994959477394","23.1650323953907","25.1782924039995","29.0301090770273","29.4764176640531","31.7613853717513"
"29","SID530055","SID532802","SID31333","SID31328","SID31021","SID530258","SID31512","SID530331","15.0930060221514","15.8883329681531","17.2856034138586","18.8940593148455","20.0675450615939","21.2776220327037","21.5420818023584","SID530890","SID531416","SID531277","SID531155","SID31874","SID31871","17.423422165057","18.1417559070808","19.3608743685454","20.7619489831446","24.459169755376","24.8248592348053"
"30","SID530075","SID31637","SID530315","SID31219","SID31700","SID530451","SID31749","SID530050","33.5092011378905","41.6729937533758","46.6722824124394","48.151951082168","50.026023537358","51.7931113338405","52.3179394373899","SID31493","SID31367","SID531274","SID31876","SID31868","SID31446","18.2075578055625","19.4932438263235","29.3597343640248","35.6825494069482","38.8689030601135","42.2813680425882"
"31","SID530119","SID530215","SID31714","SID530052","SID31112","SID31557","SID532749","SID530315","20.0698953805719","20.2537285099954","24.572824154004","26.8535059756468","26.9893810196863","30.8584593976984","34.7556965095076","SID31870","SID31159","SID31879","SID31884","SID31871","SID531416","21.3367009626512","27.4289891928503","27.4314937652546","29.9308943529875","31.0620151366118","38.2987927745863"
"32","SID530163","SID530444","SID532749","SID530364","SID530050","SID31360","SID31009","SID31129","22.4932551087543","28.3307372963906","31.1056893414629","31.3669837018672","31.8099318845954","32.0863460915091","32.1441423938033","SID31549","SID31004","SID31865","SID31237","SID31446","SID530373","25.9353605488607","28.04580805761","31.196704090067","31.5388779671043","31.6851524690509","31.9118611276027"
"33","SID530167","SID530295","SID532915","SID31021","SID31700","SID31750","SID532796","SID530227","21.3734151430393","21.549395814723","21.9579560088024","24.4899693487517","25.4466299200542","25.665988364838","26.1097144269619","SID31873","SID531469","SID31881","SID531128","SID531352","SID31223","17.5669956027119","19.9225829317662","20.97947708549","21.3233526885291","21.785600366639","22.1801320009665"
"34","SID530177","SID530258","SID31537","SID31766","SID31160","SID31512","SID31452","SID31009","21.9285692730602","22.1686826961437","24.7958927321079","26.7945183975921","27.6277347728781","28.0019300762037","28.1618889541859","SID31276","SID31489","SID31685","SID530890","SID31865","SID31871","21.1613302220938","25.3766670755026","27.1038143653213","27.1574954289143","27.2494743698369","29.4960780684551"
"35","SID530215","SID530119","SID31714","SID530052","SID31112","SID530055","SID31749","SID31700","20.0698953805719","25.9155298349291","26.7819537424233","28.2078616408653","28.8137842522307","30.4581989585793","31.2285947187622","SID31884","SID31870","SID31871","SID31879","SID31159","SID531416","24.5898493239751","25.4294516484705","27.7316146282145","28.4560581834009","30.5931832797144","32.4683121329767"
"36","SID530227","SID530167","SID532915","SID31519","SID31021","SID530295","SID31700","SID532796","26.1097144269619","30.174388769589","30.7186461951386","31.8085103086642","32.9098372553679","33.8261721484253","34.3453708433131","SID31873","SID31223","SID531333","SID531128","SID31881","SID531469","25.709468699485","27.1480680068325","28.4313753319796","29.0599678814361","29.8845550627628","30.8865137749795"
"37","SID530258","SID31537","SID31333","SID31021","SID31452","SID31267","SID31512","SID530055","16.6848629853859","17.279186346087","18.2316115925718","19.5807879958239","19.7381971447014","20.0332602752398","20.0675450615939","SID530890","SID31276","SID31489","SID31871","SID31685","SID531416","15.8343878502296","17.0212293045978","17.5060699298415","18.6944293287493","19.6194290203308","20.6110208398565"
"38","SID530295","SID532915","SID530167","SID31700","SID31300","SID31512","SID532796","SID31160","17.7209189223443","21.3734151430393","21.5790986257837","22.5238428697813","22.5244281908576","22.8158333179505","22.9454835283787","SID531469","SID531128","SID531352","SID31223","SID31881","SID31685","15.2064998681485","17.7050894107062","19.2692548641871","19.66212847856","20.4719969485954","20.961812128807"
"39","SID530315","SID31749","SID31700","SID530444","SID532749","SID31071","SID530364","SID31637","21.732221362523","23.5611039689952","24.7434423411174","27.0721061484695","27.2703601276478","27.5560539955506","28.1442281939139","SID31876","SID31884","SID31549","SID31004","SID31446","SID531128","24.3108545988906","27.4645861418027","27.759359356853","28.7528879353153","28.9488355995142","29.5229877855714"
"40","SID530364","SID31360","SID31021","SID532749","SID530394","SID530055","SID530050","SID31379","19.7709380664449","20.0601334907373","22.8451410604071","23.2554812397551","24.0622065885633","24.7371007089028","25.8856901117625","SID531416","SID31549","SID531277","SID531333","SID531155","SID31878","18.7990034390816","20.6853903107241","23.729663831932","24.749897507911","24.8844355701591","25.8655471546612"
"41","SID530368","SID530444","SID530364","SID31021","SID31360","SID530050","SID31071","SID531414","25.4196727724395","29.0081045447854","29.6276082931883","29.9016658707504","30.4171986709625","31.0508500822844","31.348866615275","SID31872","SID31004","SID531281","SID530373","SID31884","SID31549","21.6572594081615","28.9457379898786","30.5255643987101","30.6558092492956","31.067163506487","32.6582534041764"
"42","SID530394","SID532802","SID31021","SID31328","SID530331","SID31379","SID530055","SID530364","20.2006068062967","20.7241904562711","21.8214965499092","22.1290092712936","22.1520163227955","23.10694917073","23.2554812397551","SID531277","SID531416","SID531155","SID31874","SID31878","SID530890","16.9367080086037","19.8874375520277","20.7794828826947","20.9266275690232","23.4583255628743","25.0803349940805"
"43","SID530444","SID530163","SID532749","SID530315","SID31129","SID31749","SID530368","SID31071","22.4932551087543","23.7250824813445","24.7434423411174","25.2396357628037","25.3655008153259","25.4196727724395","25.5434332976207","SID31549","SID31237","SID31004","SID530890","SID31446","SID531281","18.988763581837","21.4027263299889","23.0235018605902","27.57855239367","28.4231442011347","29.1100401987167"
